Year,Savings,Profit,Beans_Alloc,Maize_Alloc,Potatos_Alloc,Rice_Alloc,Beans_Profit,Maize_Profit,Potatos_Profit,Rice_Profit
1,201618.8972034071,181618.8972034071,11.945516857201307,66.99018563506708,9.34269619541169,11.721501312419928,21767.03453542907,121736.399086751,16664.05803424832,21451.40554697866
2,381525.9627953276,179907.0655919206,10.692088162263207,69.73614917285558,9.054742364433212,10.516920300548003,19784.16790859241,124427.91517974068,16268.872264184432,19426.110239403082
3,558648.3573213739,177122.39452604591,10.631465856164557,67.55251331749614,10.923846663734235,10.892074162705065,18933.2700566249,119578.06688052701,19591.507238581984,19019.550350312038
4,742427.6563884456,183779.29906707216,10.149930458352443,65.86998648221103,11.777448447441667,12.202534612094837,18594.914219532064,121280.55977721594,22100.280900557897,21803.544169766315
5,922294.7869560884,179867.1305676426,9.557697337329918,72.7186402965611,10.039203135345177,7.684359230863808,17259.692144811474,130784.25659572541,18129.283701541888,13693.89812556385
6,1096838.208352282,174543.4213961939,11.887221743452416,66.27430361037085,9.86649724238916,11.971877403887571,21665.204507908846,113621.73001127542,17730.560112779323,21525.926764230226
7,1276115.4579086888,179277.24955640652,9.522396499800772,65.70298588231005,14.15411217164127,10.620405446347903,16990.33610963721,117471.08407917705,26103.222184647424,18712.607182944754
8,1458110.1383327257,181994.68042403637,9.192010583407766,65.28878331740579,11.848115478716188,13.670990620570237,16757.883189939006,118855.96765182826,21900.36498519178,24480.46459707742
9,1640337.473957574,182227.3356248489,13.021810279263054,64.49478461231023,11.207339993722785,11.275965114803936,24226.04463952219,116956.08428419016,20177.46688808479,20867.739813051732
10,1822489.2116650688,182151.737707495,10.33405296738992,71.73068562988105,8.043117985623145,9.892043417205906,19016.42952427713,130671.57305477693,14754.229403149828,17709.505725291147
11,2002531.4346356657,180042.22297059608,11.981456241043624,66.2322850238412,12.384779304329232,9.40137943088592,21170.273977909408,119900.72436785318,22354.424393714184,16616.80023111934
12,2181217.2879488138,178685.8533131482,8.996579398510562,71.91626769961354,8.964844692409073,10.122208209566809,16618.82464924444,127660.86361437743,16167.148433229397,18239.016616296918
13,2359903.6494201715,178686.36147135805,7.930827630908636,70.32082004937945,11.082742939548933,10.665509380262995,14178.13571323356,125696.4869846119,19887.235333807104,18924.503439705437
14,2540682.4540305394,180778.80461036685,12.9679326852121,67.39761074719121,8.662391053527402,10.97196551416927,23514.047889058373,121035.75309081023,16261.541521320214,19967.462109178017
15,2718726.37492406,178043.92089352087,12.008972769920108,67.86786112585357,10.915695429119303,9.20737067520704,21152.302784153795,120593.51406339179,19953.856469440536,16344.247576534748
16,2901689.7365656467,182963.36164158734,10.569965876042572,70.02892804410239,8.18404381408767,11.216962265867357,18830.55129729134,128871.55196760599,15182.044189697106,20079.214186992947
17,3081607.7481427058,179918.01157705995,11.888161183442186,68.5595715761998,9.937067389273922,9.615099851184103,21232.571471700547,123355.57930229396,17698.715456568003,17631.145346497444
18,3262418.1999268215,180810.45178411592,10.635744751189579,67.72509859175871,7.801380434394661,13.837676222757066,18722.78807025829,123656.10378859643,13675.269394562323,24756.29053069887
19,3441135.7389770313,178717.5390502083,10.977670455025883,69.59824238309989,8.927834073754477,10.496153088219733,19627.253923009546,124828.74306703976,15887.6718301278,18373.870230031196
20,3620226.988325377,179091.2493483463,11.976091140319351,68.08344944115821,9.336805812750995,10.60355360587142,22191.704107922702,121136.8322785266,16504.29654250304,19258.416419393932
