Year,Savings,Profit,wheat_Alloc,maize_Alloc,rice_Alloc,soybeans_Alloc,wheat_Profit,maize_Profit,rice_Profit,soybeans_Profit
1,137486.95500611217,127486.95500611217,7.9557888210026295,9.253666796178692,7.296908304859216,75.49353607805948,13290.163452277195,22707.986133657534,15161.21945705191,76327.58596312556
2,266344.66731761815,128857.71231150579,6.951766310932223,8.164677463052085,9.260774716378593,75.62268150973709,11559.453027853271,21100.622879195926,19032.461920739373,77165.1744837172
3,395555.1144562899,129210.44713867216,8.094892564181222,8.401034596544484,9.368122206985904,74.13585063238841,13581.963987733436,20747.59249103063,18947.048829479063,75933.84183042902
4,529200.9843843653,133645.86992807526,8.386905511326496,9.697780857095314,9.810134888935956,72.10507874274224,13782.97055983323,24867.374152817967,19817.104608192512,75178.42060723157
5,657613.0194311483,128412.03504678266,5.8445223040943866,8.945034133569571,7.497159673333005,77.71318388910304,9752.961474858666,22849.327644632875,15267.914304253321,80541.83162303781
6,791064.6384372149,133451.61900606693,9.533233157977177,8.201996143356215,10.44682046380764,71.81785023495898,16410.31707365192,20395.05865333727,21433.666414610547,75212.57686446719
7,917178.6886823555,126114.05024514004,8.770426317873136,8.448829794806356,7.18346452915322,75.59717935826728,13766.154494667499,21022.351731440882,14648.320290338808,76677.22372869284
8,1047401.8651372034,130223.17645484796,9.128030218373096,10.47133646411255,7.521241723564419,72.87929159404992,15043.708024645737,25922.849874296953,15907.740270459437,73348.87828544583
9,1178018.629975713,130616.76483851013,8.015314043782869,8.89658322430588,9.741237271237102,73.34676546077417,13169.47018862542,22990.807049552837,20256.635119363527,74199.85248096833
10,1306661.722793028,128643.09281731522,10.572217486804682,7.591027599789727,7.764844513219885,74.0718104002857,17778.770906384256,19207.98459600714,16018.552966973428,75637.78434795036
11,1438121.3520233452,131459.6292303165,9.092151819196294,10.035702388678283,8.793667616750287,72.07837817547517,15649.588139487054,25223.256050594417,18473.613620911092,72113.17141932395
12,1568623.7120379033,130502.36001455864,7.673739609596556,7.486960120228691,11.619120819544042,73.22007945073072,12947.56142213081,18750.0576606424,24361.889987318238,74442.85094446718
13,1699192.391060627,130568.6790227234,10.456395717986187,8.306924865314429,7.388280159198823,73.84829925760054,17538.027112781034,21045.579887266536,15131.676385110388,76853.39563756538
14,1831987.1800742096,132794.7890135828,9.09061060598587,8.542767636466321,8.817008425924259,73.54951333172356,14424.254656700148,21512.24691179317,18268.507490642864,78589.77995444667
15,1959822.1106306391,127834.93055643061,6.901518462646054,7.738345470246871,8.707597900837264,76.65243816636979,11528.386818720524,20032.20371616084,18469.196796899523,77805.14322464976
16,2090201.2371654618,130379.12653482122,9.986555742715943,7.179511741961245,8.4013920969896,74.4324404184332,16975.22618593087,17808.6305103289,17383.526264362252,78211.74357419915
17,2216388.155166282,126186.91800082043,8.604555444351172,7.928593317396817,5.840429250615273,77.62632198773673,13795.30368483854,20370.80178375876,11976.360164869102,80044.45236735402
18,2342325.5494215544,125937.39425527256,8.617085071855978,6.47002884802765,7.7164021497704365,77.19638393044596,13882.431718808504,15990.857930947277,15667.366400780915,80396.73820473588
19,2471323.0379631976,128997.48854164286,6.792048987856171,8.839862701389212,8.114270549829984,76.2537177610246,11504.947527126851,22245.415193125587,17021.658412683166,78225.4674087073
20,2601948.978566264,130625.9406030661,7.430976272674176,7.647200317796528,9.581498261710403,75.34022514791887,12471.175552696128,19226.092887730272,19360.465743681056,79568.20641895871
